Column1
hito(tsu), hito
futa(tsu), futa
mit(tsu), mi
yo(tsu), yo, yon
itsu(tsu), itsu
mut(tsu), mu
nana(tsu), nana
yat(tsu), ya
kokono(tsu), kokono
tou, to
—
chi
—
maru(i)
hi, ka
—
tsuki
toshi
toki
aida
wa(karu)
—
mae
ato
ima
saki
ku(ru)
naka(ba)
—
nan, nani
hito
otoko
onna, me
ko
haha
chichi
tomo
hi
mizu
ki, ko
tsuchi
kane
moto
kawa
hana
—
i(kiru), u(mareru), ha(yasu)
sakana
ame, ama
sora, a(keru)
yama
ame
—
kuruma
kata(ru)
mimi
te
ashi, ta(su)
me
kuchi
na
mise
—
michi
yashiro
kuni
soto, hazu(reru), hoka
mana(bu)
—
ue, u, a(geru)
ku(daru), shita
naka
kita
nishi
higashi
minami
migi
hidari
mi(ru)
ki(ku)
ka(ku)
yo(mu)
hanashi, hana(su)
ka(u)
i(ku), okona(u)
de(ru), da(su)
hai(ru), i(reru)
yasu(mu), yasu(mi)
ta(beru)
no(mu)
i(u)
ta(tsu)
a(u)
oo(i)
suko(shi), suku(nai)
furu(i)
atara(shii)
oo(kii)
chii(sai), ko
yasu(i)
taka(i)
naga(i)
shiro, shiro(i)
