Column1|Column2|Column3|Column4|Column5
が|ぎ|ぐ|げ|ご
ざ|じ|ず|ぜ|ぞ
だ|ぢ|づ|で|ど
ば|び|ぶ|べ|ぼ
ぱ|ぴ|ぷ|ぺ|ぽ
