Column1
ichi, itsu
ni
san
shi
go
roku
shichi
hachi
kyuu, ku
juu, ji
hyaku
sen
man, ban
en
nichi, jitsu
shuu
getsu, gatsu
nen
ji
kan, ken
bun, bu, fun
go
zen
go, kou
kon, kin
sen
rai
han
mai
ka
jin, nin
dan, nan
jo, nyo
shi, su
bo
fu
yuu
ka
sui
moku, boku
do, to
kin, kon
hon
sen
ka
ki, ke
sei, shou
gyo
ten
kuu
san
u
den
sha
go
ji
shu
soku
moku
kou, ku
mei, myou
ten
eki
dou
sha
koku
gai, ge
gaku
kou
shou, jou
ka, ge
chuu
hoku
sai, sei
tou
nan
yuu
sa
ken
mon, bun
sho
doku
wa
bai
kou
shutsu
nyuu
kyuu
shoku
in
gen, gon
ritsu
kai, e
ta
shou
ko
shin
dai, tai
shou
an
kou
chou
haku, byaku
